Team,Name,xG,Outcome,Min,Sec,Hit type
ORL,Daryl Dike,0.1142,Goal,13,47,Header
NSH,Hany Mukhtar,0.0618,Miss,19,2,Right footed
NSH,Hany Mukhtar,0.0297,Goal,20,47,Right footed
NSH,Randall Leal,0.033,Miss,23,20,Left footed
NSH,Hany Mukhtar,0.0367,Miss,40,6,Right footed
NSH,Aníbal Godoy,0.0288,Miss,45,45,Left footed
NSH,C.J. Sapong,0.0416,Miss,46,36,Header
ORL,Jhegson Méndez,0.0362,Miss,56,57,Right footed
ORL,Jhegson Méndez,0.0276,Miss,57,37,Right footed
NSH,Randall Leal,0.0236,Miss,69,33,Right footed
ORL,Júnior Urso,0.0296,Miss,73,14,Right footed
ORL,Júnior Urso,0.0295,Miss,75,27,Right footed
ORL,Nani,0.0386,Miss,76,21,Right footed
NSH,Hany Mukhtar,0.053,Goal,73,75,Left footed
ORL,Tesho Akindele,0.0684,Miss,85,26,Right footed
ORL,Daryl Dike,0.1194,Miss,86,41,Right footed
ORL,Tesho Akindele,0.0594,Miss,92,32,Header
NSH,Jhonder Cádiz,0.1994,Goal,93,38,Right footed
