"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Hany Mukhtar","NSH","2021","ST","228","7","4","3","0.57","0.94","2.43","4","0","0.26","-0.26","0.83","0","0"
"","Tesho Akindele","ORL","2021","W","15","2","0","0","0.18","-0.18","-0.18","1","0","0.29","-0.29","0.47","0","0"
"","Daryl Dike","ORL","2021","ST","97","2","1","1","0.46","0.34","0.54","0","0","0.00","0.00","0.46","0","0"
"","Rándall Leal","NSH","2021","CM","208","5","2","0","0.28","-0.15","-0.28","1","0","0.10","-0.10","0.38","0","0"
"","Eric Miller","NSH","2021","FB","213","0","0","0","0.00","0.00","0.00","4","1","0.32","0.68","0.32","0","0"
"","Jhonder Cádiz","NSH","2021","ST","45","4","1","1","0.31","0.18","0.69","0","0","0.00","0.00","0.31","0","0"
"","Daniel Lovitz","NSH","2021","FB","228","2","0","0","0.14","-0.14","-0.14","2","1","0.12","0.88","0.26","0","0"
"","C.J. Sapong","NSH","2021","ST","183","1","1","0","0.03","0.30","-0.03","4","1","0.17","0.83","0.20","0","0"
"","Mauricio Pereyra","ORL","2021","AM","97","0","0","0","0.00","0.00","0.00","1","1","0.16","0.84","0.16","0","0"
"","Aníbal Godoy","NSH","2021","CM","228","1","0","0","0.02","-0.02","-0.02","1","0","0.09","-0.09","0.11","0","0"
"","Júnior Urso","ORL","2021","DM","97","2","1","0","0.04","-0.02","-0.04","1","0","0.06","-0.06","0.10","0","0"
"","Alistair Johnston","NSH","2021","CB","228","1","0","0","0.07","-0.07","-0.07","0","0","0.00","0.00","0.07","0","0"
"","Nani","ORL","2021","W","20","1","0","0","0.06","-0.06","-0.06","0","0","0.00","0.00","0.06","0","0"
"","Dax McCarty","NSH","2021","DM","208","1","1","0","0.05","0.06","-0.05","0","0","0.00","0.00","0.05","0","0"
"","Jhegson Méndez","ORL","2021","DM","82","2","0","0","0.05","-0.05","-0.05","0","0","0.00","0.00","0.05","0","0"
"","Silvester van der Water","ORL","2021","FB","3","0","0","0","0.00","0.00","0.00","1","0","0.05","-0.05","0.05","0","0"
"","Benji Michel","ORL","2021","W","77","0","0","0","0.00","0.00","0.00","1","0","0.02","-0.02","0.02","0","0"
"","Walker Zimmerman","NSH","2021","CB","228","1","0","0","0.02","-0.02","-0.02","0","0","0.00","0.00","0.02","0","0"
"","Emmanuel Más","ORL","2021","FB","94","0","0","0","0.00","0.00","0.00","1","0","0.02","-0.02","0.02","0","0"
"","Ruan","ORL","2021","FB","97","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0"
"","Jalil Anibaba","NSH","2021","CB","15","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0"
"","Alexandre Pato","ORL","2021","DM","15","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0"
"","Joe Willis","NSH","2021","GK","228","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0"
"","Alex Muyl","NSH","2021","CM","20","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0"
"","Antônio Carlos","ORL","2021","CB","97","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0"
"","Tah Brian Anunga","NSH","2021","DM","20","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0"
"","Pedro Gallese","ORL","2021","GK","97","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0"
"","Jack Maher","NSH","2021","CB","228","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0"
"","Chris Mueller","ORL","2021","W","82","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0"
"","Robin Jansson","ORL","2021","CB","97","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0"
