"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Tesho Akindele","ORL","2021","W","15","1","0","0","0.13","-0.13","-0.13","0","0","0","0","0.13","0","0"
"","Ruan","ORL","2021","FB","97","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","C.J. Sapong","NSH","2021","ST","183","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Rándall Leal","NSH","2021","CM","208","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Emmanuel Más","ORL","2021","FB","94","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Daniel Lovitz","NSH","2021","FB","228","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Jalil Anibaba","NSH","2021","CB","15","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Alistair Johnston","NSH","2021","CB","228","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Jhegson Méndez","ORL","2021","DM","82","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Nani","ORL","2021","W","20","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Alexandre Pato","ORL","2021","DM","15","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Silvester van der Water","ORL","2021","FB","3","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Aníbal Godoy","NSH","2021","CM","228","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Joe Willis","NSH","2021","GK","228","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Alex Muyl","NSH","2021","CM","20","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Antônio Carlos","ORL","2021","CB","97","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Tah Brian Anunga","NSH","2021","DM","20","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Mauricio Pereyra","ORL","2021","AM","97","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Pedro Gallese","ORL","2021","GK","97","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Walker Zimmerman","NSH","2021","CB","228","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Daryl Dike","ORL","2021","ST","97","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Dax McCarty","NSH","2021","DM","208","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Jhonder Cádiz","NSH","2021","ST","45","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Jack Maher","NSH","2021","CB","228","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Chris Mueller","ORL","2021","W","82","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Hany Mukhtar","NSH","2021","ST","228","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Robin Jansson","ORL","2021","CB","97","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Júnior Urso","ORL","2021","DM","97","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Benji Michel","ORL","2021","W","77","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
"","Eric Miller","NSH","2021","FB","213","0","0","0","0.00","0.00","0.00","0","0","0","0","0.00","0","0"
